9	0	Everything we do to express ourselves uses muscles.	Everything we do to express ourselves uses muscles.
24	266	Autosomal aneuploidy often results in intellectual disability; because many genes affect brain function the absence of or extra copies of any autosome is likely to affect such a gene.	Autosomal aneuploidy often leads to mental retardation; Since many genes affect brain function, it is likely that the absence or additional copy of an autosome will affect such a gene.
24	267	Extra genetic material is less dangerous than missing material.	Additional genetic material is less dangerous than missing material.
24	268	This is why most children born with the wrong number of chromosomes have an extra one, called a trisomy , rather than a missing one, called a monosomy .	This is why most babies born with the wrong number of chromosomes also have one, called trisomy, rather than missing, called monosomy.
24	269	Aneuploid conditions have historically been named for the researchers or clinicians who identified them, but chromosome designations are more precise and for this reason are more clinically useful.	Historically, aneuploid conditions have been named after the scientists or clinicians who identified them, but chromosomal designations are more accurate and therefore more clinically useful.
24	270	Down syndrome, for example, refers to a distinct set of symptoms usually caused by trisomy 21.	For example, Down syndrome refers to a distinct set of symptoms commonly caused by trisomy 21.
24	271	It is the most common autosomal aneuploid.	It is the most common autosomal aneuploid.
24	272	However, the syndrome may also arise from one copy of chromosome 21 exchanging parts with a different chromosome in a gamete and the fertilized ovum receiving excess chromosome 21 material.	However, the syndrome can also arise from one copy of chromosome 21, which exchanges parts with another chromosome in the gamete, and from a fertilized egg that receives excess material from chromosome 21.
24	273	This exchange of genetic material is a type of chromosomal aberration called a translocation.	This exchange of genetic material is a type of chromosomal aberration called translocation.
24	274	Knowing whether an individual has trisomy 21 or translocation	Know if the person has trisomy 21 or translocation
24	275	Down syndrome is important, because the probability of trisomy 21 recurring in a sibling is about 1 in 100, but the chance of translocation Down syndrome recurring is much greater.	Down syndrome is important because sibling 21 is more likely to have trisomy 21, but the likelihood of a relapse of Down syndrome is much higher.
24	276	Clinical Application 24.1 takes a closer look at trisomy 21.	Clinical Applications 24.1 discusses trisomy 21 in more detail.
24	277	Trisomies 13 and 18 are the next most common autosomal aneuploids and usually result in miscarriage.	Trisomies 13 and 18 are the other most common autosomal aneuploids and usually result in miscarriage.
24	278	An infant with trisomy 13 has an underdeveloped face, extra and fused fingers and toes, heart defects, small adrenal glands, and a cleft lip or palate.	A child with trisomy 13 has an underdeveloped face, extra and melted fingers and toes, heart defects, small adrenal glands, and a cleft lip or palate.
24	279	An infant with trisomy 18 suffers many of the problems seen in trisomy 13, plus a peculiar positioning of the fingers and flaps of extra abdominal skin.	A child with trisomy 18 suffers from many of the problems seen with trisomy 13, as well as a special arrangement of the fingers and valves of the abdominal skin.
24	280	Table 24.1 indicates the rarity of trisomies 13, 18, and 21 and that it is rarer still for an affected newborn to survive infancy.	Table 24.1 shows the rarity of trisomies 13, 18, and 21, and how the sick newborn is increasingly surviving childhood.
24	281	However, a few individuals with trisomy 18 have survived into their twenties.	However, a few people with trisomy 18 have survived to their early twenties.
24	282	Trisomies of autosomes other than 13, 18, and 21 do not develop beyond the embryonic period.	Autosomal trisomy other than 13, 18 and 21 does not develop after the embryonic period.
24	283	Sex chromosome aneuploids are less severely affected than are autosomal aneuploids.	Sex chromosome aneuploids are less likely to be affected than autosomal aneuploids.
24	284	XO syndrome affects 1 in 2,000 newborn girls, but these represent only 1% of XO conceptions.	XO syndrome affects 1 in 2,000 newborn girls, but they represent only 1% of XO concepts.
24	285	The other 99% presumably do not complete prenatal development.	Another 99% are unlikely to complete prenatal development.
24	286	Often the only symptom is delayed sexual development.	The only symptom is often delayed sexual development.
24	287	With hormone supplements, life can be fairly normal, except for infertility.	With hormonal supplements, life can be quite normal, except for infertility.
24	288	About 1 in every 1,000 to 2,000 females has an extra X chromosome in each cell, which is called triplo-X.	About 1 in every 1,000 to 2,000 women has an extra X chromosome in each cell called triplo-X.
24	289	Often the only associated characteristics of triplo-X are great height and menstrual irregularities.	The only related properties of Triplo-X are often altitude and menstrual irregularities.
24	290	Males with an extra X chromosome have XXY syndrome .	Men with an extra X chromosome have XXY syndrome.
24	291	Like XO females, XXY males may not realize they have an unusual number of chromosomes until they have fertility problems and their chromosomes are checked.	Like XO women, XXY men may not realize that they have an unusual number of chromosomes until they have fertility problems and have their chromosomes checked.
24	292	Associated characteristics are sexual underdevelopment , growth of breast tissue, long limbs, and large hands and feet.	Associated traits include sexual underdevelopment, growth of breast tissue, long limbs, and large arms and legs.
24	293	XXY syndrome affects 1 in every 500 to 2,000 male births.	Syndrome XXY affects 1 in every 500-2000 males born.
24	294	One male in 1,000 has an extra Y chromosome, called XYY syndrome, or Jacobs syndrome.	One in 1000 people has an extra Y chromosome called XYY syndrome or Jacobs syndrome.
24	295	A fertilized ovum that has one Y chromosome and no X chromosome has never been observed.	A fertilized egg with one Y chromosome and no X chromosome has never been observed.
24	296	Presumably, when a zygote lacks an X chromosome, so much genetic material is missing that only a few, if any, cell divisions are possible.	If the X chromosome is missing from the zygote, it is likely that so much genetic material is missing that little, if any, cell division is possible.
24	297	Several types of tests performed on pregnant women can identify anatomical or physiological features of fetuses that are often found with a specific chromosomal problem or detect theabnormal chromosomes .	Several types of tests performed on pregnant women can identify anatomical or physiological features of the fetus that are often associated with a particular chromosomal problem, or detect abnormal chromosomes.
24	298	An ultrasound scan, for example, can reveal the fusion of the eyes, cleft lip and/or palate, malformed nose, and extra fingers and toes that indicate trisomy 13 .	For example, ultrasound can detect fusions of the eyes, cleft lip and / or palate, an ugly nose, and other fingers and toes that suggest trisomy 13.
24	299	A blood test performed on the woman during the fifteenth week of pregnancy detects levels of certain biochemicals in serum.	A blood test taken on a woman during the fifteenth week of pregnancy determines the level of certain biochemicals in the blood serum.
24	300	Levels of these maternal serum markers, which include alpha fetoprotein, an estrogen, pregnancy-associated plasma protein A, and human chorionic gonadotropin, can indicate an underdeveloped liver, which is associated with trisomies 13, 18, and 21.	Levels of these maternal serum markers, which include alpha-fetoprotein, estrogen, pregnancy-associated plasma protein A, and human chorionic gonadotropin, may indicate an underdeveloped liver associated with trisomies 13, 18, and 21.
24	301	Detecting abnormal maternal serum marker levels is indirect and imprecise, and so it is considered to be a screening rather than a diagnostic test.	The detection of abnormal levels of serum markers in motherhood is indirect and imprecise and is therefore considered a diagnostic rather than a diagnostic test.
24	302	Maternal serum marker screening is gradually being replaced with analysis of cell-free fetal DNA.	Screening for maternal serum markers is gradually being replaced by cell-free fetal DNA testing.
24	303	Pieces of fetal DNA are normally in a pregnant woman's bloodstream, and because these pieces are smaller than maternal DNA, they can be separated.	Pieces of fetal DNA are usually found in the blood of a pregnant woman, and since these pieces are smaller than the mother's DNA, they can be separated.
24	304	If the ratio of number of pieces from one chromosome type is 50% greater than the number of pieces from the other chromosomes, then a trisomy is indicated.	If the ratio of the number of fragments from one chromosome type is 50% greater than the number of fragments from other chromosomes, trisomy is indicated.
24	305	A fetus with trisomy 21, for example, would have 50% more DNA pieces in the maternal bloodstream from chromosome 21 compared to the number of pieces from the other chromosomes, representing the extra chromosome.	For example, a fetus with trisomy 21 will have 50% more pieces of DNA in the mother's bloodstream from chromosome 21 compared to the number of pieces from other chromosomes, which is a different chromosome.
24	306	After any of the initial tests indicates increased risk, the patient is offered either of two invasive tests, to provide a definitive diagnosis.	After one of the initial tests indicates an increased risk, the patient is offered one of two invasive tests to establish a definitive diagnosis.
24	307	In chorionic villus sampling , a physician collects chorionic villus cells through the cervix as early as 10 weeks.	When taking chorionic villus samples, the doctor collects chorionic villus cells through the cervix in just 10 weeks.
24	308	The basis of the test is that, theoretically, these cells are genetically identical to fetal cells because they too descend from the fertilized ovum.	The basis of the test is that these cells are theoretically genetically identical to the cells of the fetus, as they also come from a fertilized egg.
24	309	However, a mutation can occur in a villus cell only, or a fetal cell only, creating a false positive or false negative test result, respectively.	However, the mutation can only occur in the villus cell or only in the fetal cell, resulting in false positive or false negative test results.
24	310	In amniocentesis, a needle inserted into the amniotic sac withdraws about 5 milliliters of fluid.	In amniocentesis, a needle inserted into the amniotic sac draws about 5 milliliters of fluid.
24	311	Fetal fibroblasts in the sample are cultured and a karyotype constructed, which reveals extra, missing, or translocated chromosomes or smaller abnormalities.	Fetal fibroblasts in the sample are cultured and a karyotype is constructed that exhibits additional, missing or translocated chromosomes or minor abnormalities.
24	312	However, additional tests on amniotic fluid or fibroblast DNA are necessary to detect mutations in individual genes.	However, additional tests for amniotic fluid or fibroblast DNA are needed to detect mutations in individual genes.
24	313	Cell-free fetal DNA testing may replace CVS and amniocentesis once its accuracy has been validated for many cases.	Cell-free testing of fetal DNA can replace cardiovascular disease and amniocentesis if proven to be valid in many cases.
24	314	It is also called non-invasive prenatal testing, or NIPT, but this designation also includes ultrasound scans.	This is also called non-invasive prenatal testing or NIPT, but it also includes ultrasound.
24	315	Researchers have sequenced genomes from fetuses using cell-free fetal DNA.	The researchers sequenced the fetuses' genomes using acellular embryonic DNA.
24	316	Sequencing is rapid, taking under a day, but analysis may take weeks.	Sequencing is fast, taking no more than a day, but analysis can take weeks.
24	317	Table 24.2 and figure 24.13 summarize the tests used to visualize fetal chromosomes as a window to health status.	Table 24.2 and Figure 24.13 summarize the tests used to visualize fetal chromosomes as a window to health.
24	318	Clinical tests based on detected specific DNA sequences are becoming part of healthcare.	Clinical trials based on detected specific DNA sequences are becoming part of healthcare.
24	319	Genetic tests help healthcare providers to diagnose single gene diseases, identify gene variants associated with elevated risk of specific conditions, and select treatments that are most likely to work without serious adverse effects for individual patients.	Genetic testing helps health care providers diagnose solitary gene diseases, identify gene variants associated with an increased risk of certain conditions, and select therapies that are most likely to work without serious adverse effects on individual patients.
24	320	DNA-based treatments that provide longer-lasting benefits than conventional drugs may become important in the future.	DNA-based therapies that provide longer lasting benefits than conventional medications may become important in the future.
24	321	DNA tests range from detecting single nucleotide bases to sequencing entire genomes.	DNA analyzes range from finding single nucleotide bases to sequencing entire genomes.
24	322	For example, a test for cystic fibrosis checks for the 100 or so most common single-base mutations in the CFTR gene.	For example, a cystic fibrosis test checks for the 100 most common single base mutations in the CFTR gene.
24	323	In contrast, a test for Lynch syndrome checks mutations in several genes, each of which increases the risk of developing a specific form of colon cancer .	In contrast, the Lynch syndrome test checks for mutations in several genes, each of which increases the risk of developing a certain form of colon cancer.
24	324	Genomics is the study of all of the genetic information in an individual organism.	Genomics is the study of all genetic information in an individual organism.
24	325	In cases for which symptoms do not exactly match a recognized syndrome, exome or genome sequencing can help narrow down a diagnosis.	In cases where the symptoms are not consistent with a generally recognized syndrome, sequencing the exome or genome can help narrow down the diagnosis.
24	326	The exome is only about 1.5% of the DNA in a human genome, but it includes about 85% of mutations known to affect health.	Exome makes up only about 1.5% of the DNA in the human genome, but includes about 85% of the mutations that are known to affect health.
24	327	At first exome sequencing was a "shortcut" to sequencing a genome, but as costs have fallen, both exome and genome sequencing are now part of clinical workups at major medical centers for difficult-to-diagnose conditions.	Originally, exom sequencing was a "shortcut" for genome sequencing, but as cost declines, sequencing of both exome and genomy has now become part of clinical trials in large medical centers for difficult-to-diagnose conditions.
24	328	Although the actual DNA sequencing takes under a day, analyzing the data to identify a mutation that might explain a patient's condition can take weeks or months.	Although the actual DNA sequencing takes less than one day, analyzing the data to identify a mutation that could explain the patient's condition can take weeks or months.
24	329	Before exome and genome sequencing became feasible, finding the cause of a child's unusual combination of symptoms could take years, involving many types of medical specialists, in a process that came to be called a "diagnostic odyssey.	Before sequencing the exome and genome, it can take years to find the cause of an unusual combination of symptoms in a child, in which many healthcare professionals are involved, in a process called a "diagnostic odyssey."
24	330	"	"
24	331	One of the first cases, in 2009, was a boy who had holes in his intestines.	One of the first cases in 2009 was a boy with a hole in his intestines.
24	332	He had had 100 surgeries by the age of four.	He had 100 operations at the age of four.
24	333	His symptoms were much more severe than those of inflammatory bowel disease, the most likely diagnosis.	His symptoms were much more severe than those of inflammatory bowel disease, which is the most likely diagnosis.
24	334	Then experimental exome sequencing revealed that he had a mutation in a gene that normally protects cells of the gastrointestinal tract from the immune response during infection.	Experimental sequencing of the exome then revealed that it has a mutation in a gene that normally protects gastrointestinal cells from an immune response during infection.
24	335	Most mutations in the gene cause a condition called X-linked inhibitor of apoptosis deficiency, in which lymphocytes proliferate to a greater extent than normal in the presence of infection.	Most mutations in the gene cause a condition called an X-linked inhibitor of apoptosis deficiency, in which lymphocytes proliferate more than normal in the presence of infection.
24	336	The boy with the damaged intestines had an "atypical presentation" of XIAP deficiency.	A boy with a damaged intestine had an “atypical picture” of XIAP deficiency.
24	337	Because an umbilical cord blood stem cell transplant is the standard treatment for XIAP deficiency, the boy had that procedure and is doing well.	Since cord blood stem cell transplantation is the standard treatment for XIAP deficiency, the boy underwent this procedure and is doing well.
24	338	Even when exome or genome sequencing is performed, following trait transmission in families remains important in interpreting test findings.	Although exome or genome sequencing is performed, monitoring of familial transduction is important in interpreting test results.
24	339	For example, the boy with the dissolving intestines inherited his mutation from his mother--it is X-linked recessive.	For example, a boy with a dissolved intestine inherited his mutation from his mother - this is a recessive X-linked type.
24	340	Many children being diagnosed following exome sequencing have autosomal recessive conditions that they inherited from their parents.	Many children diagnosed with exome sequence have autosomal recessive conditions that they inherited from their parents.
24	341	However, if the parents of a child diagnosed with a single-gene disease following exome or genome sequencing do not carry a mutation that explains the child's symptoms, then a new, or de novo, mutation occurred in the sperm or oocyte, or perhaps early in development so that enough cells are affected to cause symptoms.	However, if the parents of a child diagnosed with a single gene disease after exome or genome sequencing do not have a mutation to explain the child's symptoms, a new mutation or de novo mutation has occurred in the sperm or egg, or perhaps early in development, so that enough cells cause symptoms.
24	342	The child originated the mutation and can pass it on to children, but did not inherit the mutation.	A child has created a mutation and can pass it on to children, but did not inherit the mutation.
24	343	Such a mutation is dominant because just one copy causes the symptoms.	This mutation is dominant because only one copy causes symptoms.
24	344	The distinction between an inherited and a de novo mutation is important in genetic counseling: If the mutation was inherited from carrier parents, then future siblings face a 25% risk of inheriting the condition, but if the mutation is de novo, siblings are not at elevated risk of inheriting the mutation.	The distinction between an inherited mutation and a de novo mutation is important in genetic counseling: if the mutation was inherited from the parents of the carriers, then future siblings face a 25% risk of inheriting the disease, but if the mutation is de novo, siblings are not susceptible to increased the risk of inheriting the mutation.
24	345	A challenge of exome and genome sequencing is that it can reveal information for conditions other than the one for which a patient sought care, called a "secondary finding.	The problem with sequencing the exome and genome is that it can reveal information about conditions other than the condition for which the patient sought help, the so-called "secondary detection."
24	346	"	"
24	347	The American College of Medical Genetics advises that only conditions that are "actionable"--have treatments--be reported to patients.	The American College of Medical Genetics recommends reporting patients only for conditions that are "acting" - they have a cure.
24	348	The list of 59 includes cancers, inborn errors of metabolism , other conditions that are treatable, and malignant hyperthermia, which is a fatal sensitivity to certain anesthetics.	List 59 includes cancers, congenital metabolic errors, other treatable conditions, and malignant hyperthermia, which is a fatal susceptibility to certain anesthetics.
24	349	For more common conditions, genetic testing can refine diagnoses and identify risk.	For more common conditions, genetic testing can clarify the diagnosis and identify the risk.
24	350	This was the case for a middle-aged engineer who reported on his personal genome sequence in a medical journal.	It was the case of a middle-aged engineer who reported his personal genomic sequence in a medical journal.
24	351	He sought sequencing because a young cousin had died of sudden cardiac arrest, and although the engineer's heart and blood vessels were healthy, he wanted to know if he shared any gene variants with his cousin that might elevate his disease risk.	He was looking for the sequence because his young cousin died of sudden cardiac arrest, and while the engineer's heart and blood vessels were healthy, he wanted to know if he had shared any gene variants with his cousin that might increase his risk diseases.
24	352	The man's genome revealed that he indeed had inherited a tendency foratherosclerosis and inappropriate blood clotting that could cause a thrombus or embolism.	The male genome has shown that he has inherited a tendency towards preclinical sclerosis and inappropriate blood clotting, which can cause a blood clot or embolism.
24	353	His genome also revealed that certain cholesterol-lowering drugs would work and not have side effects, and that one antiplatelet drug would be effective but another would not be.	His genome also showed that some cholesterol-lowering drugs would work and had no side effects, and that one antiplatelet drug would be effective and another would not.
24	354	The clues in the man's DNA revealed risks before standard blood tests for lipid levels and blood-clotting markers could have.	Traces in a person's DNA have exposed risks before they could have routine blood tests for lipid levels and blood clotting.
24	355	Treatments for genetic diseases address symptoms or target specific proteins or genes.	Treatments for genetic diseases focus on symptoms or target specific proteins or genes.
24	356	A person with cystic fibrosis might inhale antibiotic drugs to prevent or combat infection and other drugs that break up mucus, and sprinkle powdered pancreatic enzymes on food to compensate for blocked pancreatic ducts.	A person with cystic fibrosis may inhale antibiotics to prevent or fight infection and other medications that break down mucus, and sprinkle powdered pancreatic enzymes on food to compensate for blocked pancreatic ducts.
24	357	Other protein-based therapies restore or correct an abnormal metabolic pathway .	Other types of protein therapies restore or correct pathological metabolic pathways.
24	358	These are enzyme replacement therapy, substrate reduction therapy, and pharmacological chaperone therapy.	These include enzyme replacement therapy, substrate reduction therapy, and pharmacological chaperone therapy.
24	359	Recall that in metabolic pathways, a series of linked enzyme-catalyzed reactions leads to formation of a product.	Recall that, in metabolic pathways, a series of linked enzyme-catalyzed reactions lead to product formation.
24	360	If an enzyme is deficient or absent, the substrate builds up as the product diminishes.	If the enzyme is deficient or absent, the substrate accumulates as the product decreases.
24	361	For some conditions, a patient may have either enzyme replacement therapy or substrate reduction therapy.	In some settings, the patient can receive either enzyme replacement therapy or substrate recovery therapy.
24	362	Consider Gaucher disease, in which a deficient enzyme causes buildup of glucocerebroside.	Consider Gaucher disease, in which an enzyme deficiency causes the build-up of glucocerebroside.
24	363	Symptoms include a greatly enlarged liver and spleen, anemia, bruising and bleeding, increased risk of infection, and bone and joint pain.	Symptoms include a markedly enlarged liver and spleen, anemia, bruising and bleeding, an increased risk of infection, and bone and joint pain.
24	364	Treatments in the past corrected affected body parts: removing the spleen, replacing joints, transfusing blood, or transplanting bone marrow.	Treatment in the past has corrected the affected areas of the body: removal of the spleen, replacement of joints, blood transfusion, or bone marrow transplant.
24	365	Today enzyme replacement therapy supplies glucocerebrosidase, or substrate reduction therapy decreases the amount of glucocerebroside.	Currently, enzyme replacement therapy provides glucocerebrosidase, or substrate reconstitution therapy reduces the amount of glucocerebroside.
24	366	These treatments are highly effective but very expensive.	These treatments are very effective but very expensive.
24	367	Pharmacological chaperone therapy corrects misfolded proteins.	Pharmacological chaperone therapy corrects misfolded proteins.
24	368	Returning to the example of cystic fibrosis, this strategy unfolds the abnormally shaped protein and refolds it so that it can reach the cell surface and function as an ion channel.	Returning to the example of cystic fibrosis, this strategy breaks down an abnormally shaped protein and redistributes it so that it can reach the cell surface and function as an ion channel.
24	369	In contrast to protein-based therapies, which must be delivered at regular intervals for a lifetime, gene therapy places functional copies of genes into specific cell types or body parts.	Unlike protein-based therapy, which must be administered at regular intervals throughout your life, gene therapy places functional copies of genes in specific cell types or parts of the body.
24	370	The genes are in addition to the mutant ones.	Genes in addition to mutants.
24	371	Genes are typically introduced as parts of modified viruses.	Genes are usually introduced as part of modified viruses.
24	372	A gene therapy may require a single or a few treatments.	Gene therapy may require one or more treatments.
24	373	Clinical trials for gene therapy have been ongoing since 1990.	Clinical trials of gene therapy have been ongoing since 1990.
24	374	A newer approach, called gene or genome editing, replaces mutant genes with functional copies, rather than just adding the working genes.	A newer approach, called genome or genome editing, replaces mutant genes with functional copies rather than just adding working genes.
24	375	Approaches to gene therapy vary in the way that the healing genes are delivered and their targets.	Gene therapy approaches differ in the mode of delivery of therapeutic genes and their goals.
24	376	A nasal spray can deliver a gene therapy to lungs, whereas placing genes into specific cell layers in the retina corrects some forms of hereditary blindness.	A nasal spray can deliver gene therapy to the lungs, and placing genes in specific cell layers of the retina corrects some forms of hereditary blindness.
24	377	Thanks to retinal gene therapy, a few hundred patients, many of them children, have vision for the first time.	Thanks to gene therapy in the retina, sight is first seen in several hundred patients, many of whom have children.
24	378	Many gene therapies involve altering a patient's cells outside the body and then infusing them into the bloodstream through a vein.	Many gene therapies involve removing the patient's cells from the body and injecting them into the bloodstream through a vein.
24	379	For a gene therapy to be effective, the delivered DNA must enter the targeted cells, the DNA must be transcribed into mRNA, the mRNA must be translated into protein, and then the protein must function long enough, in enough cells, to halt progression of the disease or to improve symptoms.	For gene therapy to be effective, the delivered DNA must reach the target cells, the DNA must be transcribed into mRNA, the mRNA must be translated into protein, and then the protein must function long enough in enough cells to stop disease progression or relieve symptoms.
24	380	Overall, examining our genes and what they do provides a new type of window into the functioning, and malfunctioning, of the human body.	Overall, the study of our genes and their activity provides a new type of window into the functioning and failure of the human body.
24	381	In the coming years, as more individual genomes are sequenced and compared, detailed portraits of the living chemistry within our cells, and the chemical crosstalk among cells, will enhance our view of anatomy and physiology.	In the years to come, as more and more individual genomes are sequenced and compared, detailed portraits of living chemistry in our cells and chemical cross-talk between cells will improve our view of anatomy and physiology.
24	382	A female has two X chromosomes; a male has one X and one Y chromosome.	A woman has two X chromosomes; a man has one X and Y chromosome.
24	383	The X chromosome has many more genes than the Y. Extra, missing, or rearranged chromosomes or parts of them can cause syndromes, because they alter the balance of genetic material or disrupt a vital gene.	The X chromosome has many more genes than the Y. Additional, missing or rearranged chromosomes or parts of them can cause syndromes because they alter the balance of genetic material or disrupt a vital gene.
12	0	The senses provide information about what is happening in the world outside and inside the body, whether it is the feel of clothing against your skin as you are getting dressed, an unusual smell, or the awareness that your heart is pounding in your chest when you are excited.	The senses provide information about what is happening in the world outside and inside the body, whether it be the sensation of clothing from the skin when dressing, an unusual smell, or the knowledge that your heart is pounding in your chest when you are excited.
12	1	Despite the fact that all action potentials are the same, we are able to distinguish among a wide variety of stimuli.	Although all action potentials are the same, we can distinguish a wide range of stimuli.
12	2	What we hear, smell, taste, and see, and how those senses combine, reflect both the parts of the brain that process the incoming information, and the rich collection of receptors tuned in to the world.	What we hear, feel, perceive and see, and how these feelings combine, reflects both the parts of the brain that process incoming information and the rich collection of receptors tuned to the world.
12	3	At the same time, the nervous system also "tunes out" unimportant information.	At the same time, the nervous system "tunes" unimportant information.
12	4	If your brain seems overloaded now, imagine how it would be if you were aware of all of the sounds, smells, and other sensory stimuli present in your environment all of the time!	If your brain now seems overwhelmed, imagine what it would be like to know all the sounds, smells, and other sensory stimuli that are constantly present in your environment!
12	5	Our senses not only make our lives meaningful, connecting us to the sights, sounds, smells, tastes, and textures of the outside world, but also help our bodies maintain homeostasis by providing information about what is happening on the inside.	Our senses not only make our lives meaningful by connecting us to the sights, sounds, smells, tastes and structures of the outside world, but they also help our bodies maintain homeostasis by providing information about what is going on inside.
12	6	Sensory receptors are the portals that link our nervous systems to all of these events.	Sensory receptors are portals that link our nervous system to all of these events.
12	7	The general senses are those with receptors widely distributed throughout the body, including the skin, various organs, and joints.	General senses are those that have receptors widely distributed throughout the body, including the skin, various organs and joints.
12	8	The special senses have more specialized receptors and are confined to structures in the head, such as the eyes and ears.	Special senses have more specialized receptors and are limited to structures in the head such as the eyes and ears.
12	9	All senses work in basically the same way.	All senses work essentially the same way.
12	10	Sensory receptors are specialized cells or multicellular structures that collect information from the environment.	Sensory receptors are specialized cells or multicellular structures that collect information from the environment.
12	11	In some senses, such as smell and taste, the receptor cells have specific molecules on the cell membrane .	In some senses, such as smell and taste, receptor cells have specific molecules on the cell membrane.
12	12	Stimulated receptor cells in turn stimulate neurons to conduct impulses along sensory fibers to the brain.	Stimulated receptor cells, in turn, stimulate neurons to conduct impulses along sensory fibers to the brain.
12	13	There the cerebral cortex interprets the information.	There, the cortex interprets the information.
12	14	Chapter 11 uses the terms axon and nerve fiber synonymously.	Chapter 11 uses the terms axon and nerve fiber synonymously.
12	15	Also recall from chapter 10 that unipolar neurons, which include most sensory neurons, are unusual in that the portion of the neuron associated with the dendrites, called a peripheral process, functions like an axon .	Also remember from Chapter 10 that unipolar neurons, which contain most sensory neurons, are unusual in that the part of the neuron associated with the dendrites, called the peripheral process, functions as an axon.
12	16	Because of this, and for simplicity, we call the neuron processes that bring sensory information into the CNS "sensory fibers" or "afferent fibers," no matter the type of neuron.	For this reason, and for simplicity, we call the neural processes that deliver sensory information to the CNS "sensory fibers" or "afferent fibers" regardless of the type of neuron.
12	17	The body's ability to interpret different sensory events depends partly on receptors that respond to specific stimuli.	The body's ability to interpret various sensory events depends in part on receptors that respond to certain stimuli.
12	18	Sensory receptors are diverse but share certain features.	Sensory receptors are diverse but have specific functions.
12	19	Each type of receptor is particularly sensitive to a distinct type of environmental change and is much less sensitive to other forms of stimulation.	Each type of receptor is especially sensitive to a different type of environmental change and is much less sensitive to other forms of stimulation.
12	20	Five types of sensory receptors are recognized, based on their sensitivities to specific stimuli: Sensory receptors can be	Five types of sensory receptors are recognized based on their sensitivity to certain stimuli: sensory receptors can be
12	21	ends of neurons or other types of cells that are near neuron extensions.	the ends of neurons or other types of cells that are close to the spread of neurons.
12	22	In either case, stimulation locally changes the cells' membrane potentials , generating a graded electric current that reflects the intensity of stimulation .	In both cases, the stimulation locally alters the membrane potentials of the cells and creates a gradual electrical current that reflects the intensity of the stimulation.
12	23	If a receptor is a neuron and the change in membrane potential reaches threshold, an action potential is generated and is propagated along the afferent fiber.	When the receptor is a neuron and the change in membrane potential reaches a threshold value, an action potential is generated and propagates along the afferent fiber.
12	24	However, if the receptor is not a neuron, its receptor potential must be transferred to a neuron to trigger an action potential.	However, if the receptor is not a neuron, its receptor potential must be transmitted to the neuron in order to trigger an action potential.
12	25	Peripheral nerves conduct the resulting impulses to the central nervous system , where they are analyzed and interpreted in the brain.	Peripheral nerves conduct the received impulses to the central nervous system, where they are analyzed and interpreted in the brain.
12	26	A sensation occurs when sensory neurons reach threshold and the resulting action potentials cause the brain to become aware of that sensory event.	Sensation occurs when sensory neurons reach a threshold, and the resultant action potentials cause the brain to become aware of the sensory event.
12	27	A perception occurs when the brain interprets those sensory impulses.	Perception occurs when the brain interprets these sensory impulses.
12	28	Thus, pain is a sensation, but realizing that you have just stepped on a tack is a perception.	So pain is a feeling, but the realization that you have just joined is a perception.
12	29	Table 12.1 outlines the pathways from sensing to perceiving an apple using the special senses: smell, taste, sight, and hearing.	Table 12.1 lists the pathways from perception to perception of an apple through its special senses: smell, taste, sight, and hearing.
12	30	Some receptors, such as those that measure oxygen levels in the blood, do not trigger sensations.	Some receptors, such as those that measure oxygen levels in the blood, do not trigger feelings.
12	31	At the same time that a sensation forms the cerebral cortex interprets it as coming from the receptors being stimulated.	At the same time, when sensation forms the cerebral cortex, it interprets it as coming from stimulated receptors.
12	32	This process, which is closely related to perception, is called projection , because the brain projects the sensation back to its apparent source.	This process, closely related to perception, is called projection because the brain projects the feeling back into its visible source.
12	33	Projection allows a person to pinpoint the region of stimulation.	The projection allows the person to define the stimulation zone.
12	34	In this way, we perceive that the eyes see an apple, the nose smells it, and the ears hear the teeth crunch into it.	Thus, we feel that the eyes see the apple, the smell of its nose, and the ears see the cramps of the teeth.
12	35	Because all of the impulses conducted on sensory fibers into the CNS are alike, the resulting sensation depends on the type of receptor that was stimulated.	Since all impulses directed along sensory fibers to the central nervous system are similar, the resulting sensation depends on the type of stimulated receptors.
12	36	It also depends on which region of the cerebral cortex receives the impulse.	It also depends on which area of the cerebral cortex is receiving the impulse.
12	37	For example, impulses reaching the auditory areas of the temporal lobes are always sensed as sounds, and those reaching the visual areas of the occipital lobes are always sensed as light.	For example, impulses that enter the sound areas of the temporal lobes are always perceived as sounds, and impulses that affect the visual areas of the occipital lobes are always perceived as light.
12	38	Sensory receptors are specialized to respond to certain types of stimuli, but they may respond to other stimuli that are strong enough.	Sensory receptors specialize in responding to certain types of stimuli, but they can respond to other sufficiently strong stimuli.
12	39	In either case the sensations are the same.	In both cases, the feelings are the same.
12	40	Pain receptors, for example, can be stimulated by extreme heat, cold, or pressure, but the sensation is always the same because, in each case, the same part of the brain interprets the resulting impulses as pain.	For example, pain receptors can be stimulated by extreme heat, cold or pressure, but the feeling is always the same, because in each case, the same part of the brain interprets the arising impulses as pain.
12	41	Similarly, a stimulus other than light, such as a sharp blow to the head, may trigger impulses in visual receptors.	Likewise, a stimulus in the visual receptors can elicit a stimulus other than light, such as a sharp blow to the head.
