Question number or item identifier,Source location in file if available,Question text,Answer choices,Marked correct answer,Auditor verdict,Is the marked correct answer actually correct?,"If not, what is the actually correct answer?",Is the actually correct answer present among the choices?,Statistical issue category,Formula dependency assessment,Short rationale explaining the issue,"Easy fix to answer choices, if any","Easy fix to question wording, if any",Recommended final status
Item 49,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[48].stims[0],"In a psychological study on memory retention, a researcher hypothesizes that a new mnemonic technique improves memory recall compared to the average recall rate of 70%. A sample of 200 participants showed a recall rate of 74%. Assuming the standard deviation is 12%, what is the most appropriate alternative hypothesis for a z-test?",Choice pool (runtime order randomized): The recall rate with the new technique is more than 70%. || The recall rate with the new technique is less than 70% || The recall rate with the new technique is exactly 70%. || The recall rate with the new technique is not 70%,The recall rate with the new technique is more than 70%.,Correct,Yes,The recall rate with the new technique is more than 70%.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 50,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[49].stims[0],"A therapist is investigating whether a new counseling approach changes the level of optimism among clients. The national average optimism score is 50. After counseling 100 clients, the therapist records an average optimism score of 52 with a standard deviation of 6. Which option correctly represents the calculation of the z-score for this average?",Choice pool (runtime order randomized): (52 - 50)/sqrt(6^2/100) || (52 - 50)/6 || (50 - 52)/sqrt(6^2/100) || (52 - 50)/6,(52 - 50)/sqrt(6^2/100),Problematic but salvageable,Partly,"If 6 is a known population SD, the keyed expression is the right z setup; otherwise the item should be framed as a t statistic, and one distractor is duplicated.",Yes,Multiple issues,Problematic because it requires formula recall,"The stem does not say sigma is known, yet it asks for a z-score and includes a duplicated distractor.",Replace the duplicated distractor with a genuinely different incorrect setup.,"Say the population SD is known, or relabel the statistic as t.",Revise concept/substance
Item 51,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[50].stims[0],A researcher is studying the mean anxiety level of a group against a known population mean. What is the primary purpose of using a t-test in this scenario?,Choice pool (runtime order randomized): To determine if there is a significant difference between the group’s mean anxiety level and the population mean. || To compare the variances within the group. || To calculate the correlation between two variables. || To establish a cause-and-effect relationship within the group.,To determine if there is a significant difference between the group’s mean anxiety level and the population mean.,Correct,Yes,To determine if there is a significant difference between the group’s mean anxiety level and the population mean.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 52,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[51].stims[0],"When discussing degrees of freedom in the context of a t-test, what does this concept primarily represent?",Choice pool (runtime order randomized): The number of independent values or observations that can vary in the analysis. || The number of categories in the t-test. || The total number of participants in the study. || The maximum value of the t-distribution.,The number of independent values or observations that can vary in the analysis.,Correct,Yes,The number of independent values or observations that can vary in the analysis.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 53,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[52].stims[0],"In a psychological study, a one-sample t-test is used when:",Choice pool (runtime order randomized): Comparing a group’s mean to a population mean. || There are more than two variables involved in the study. || Two different groups are being compared. || The sample size is below 30.,Comparing a group’s mean to a population mean.,Correct,Yes,Comparing a group’s mean to a population mean.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 54,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[53].stims[0],"If a p-value obtained is 0.03 in a study comparing a group’s mean to a known value, what can be concluded?","Choice pool (runtime order randomized): Assuming the null hypothesis is true, there is a 3% chance of observing a result this extreme or more extreme. || The therapies are 97% effective. || The therapies have the same effectiveness. || The result is not statistically significant.","Assuming the null hypothesis is true, there is a 3% chance of observing a result this extreme or more extreme.",Correct,Yes,"Assuming the null hypothesis is true, there is a 3% chance of observing a result this extreme or more extreme.",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 55,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[54].stims[0],"In a study involving a t-test with 20 participants, what is the degrees of freedom for this one-sample t-test?",Choice pool (runtime order randomized): 19 || 10 || 18 || 20,19,Correct,Yes,19,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 56,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[55].stims[0],"In a t-distribution, the tails of the distribution represent what aspect of a dataset?",Choice pool (runtime order randomized): The probability of extreme values or outliers. || The most frequent values. || The mean and median. || The standard deviation.,The probability of extreme values or outliers.,Correct,Yes,The probability of extreme values or outliers.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 57,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[56].stims[0],"When conducting a t-test to compare a sample mean against a population mean, which assumption must be met? Which of the following is one assumption required for a one-sample t-test?",Choice pool (runtime order randomized): The sample observations must be independent. || The sample size must be over 100. || The data must be collected from independent samples. || The variance between groups must be large.,The sample observations must be independent.,Correct,Yes,The sample observations must be independent.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 58,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[57].stims[0],"If a t-test yields a t-value of 6 with a degrees of freedom of 30, this result typically indicates:","Choice pool (runtime order randomized): The null hypothesis can be rejected, suggesting a significant difference from the population mean. || The means of the sample and the population are identical. || The effect size is small. || A strong correlation between the variable and a known population parameter.","The null hypothesis can be rejected, suggesting a significant difference from the population mean.",Correct,Yes,"The null hypothesis can be rejected, suggesting a significant difference from the population mean.",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 59,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[58].stims[0],Why is a sample size of at least 30 often recommended for the one-sample t-test when the population distribution is not known to be normal?,"Choice pool (runtime order randomized): To approximate normality of the sampling distribution via the Central Limit Theorem, facilitating the test’s applicability. || To comply with the Regression Toward the Mean principle, minimizing the impact of outliers on the sample mean. || To meet the prerequisites of the T-Distribution theory, which stipulates a minimum sample size for validity. || To align with the Law of Large Numbers, ensuring the sample mean’s convergence to the population mean.","To approximate normality of the sampling distribution via the Central Limit Theorem, facilitating the test’s applicability.",Correct,Yes,"To approximate normality of the sampling distribution via the Central Limit Theorem, facilitating the test’s applicability.",Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 60,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[59].stims[0],A t-test comparing a group’s characteristic to a known population value yields a p-value of 0.05. This indicates that:,Choice pool (runtime order randomized): The difference in stress levels is significant at the 5% significance level. || The sample size was too small to detect a difference. || The result is not statistically significant. || There is no difference in stress levels between the two groups.,The difference in stress levels is significant at the 5% significance level.,Correct,Yes,The difference in stress levels is significant at the 5% significance level.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 61,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[60].stims[0],"A psychologist is testing a new therapy for reducing stress. They conclude the therapy is effective, but in reality, it’s not. This is an example of a:",Choice pool (runtime order randomized): Type 1 Error || Sampling Error || Measurement Error || Type 2 Error,Type 1 Error,Correct,Yes,Type 1 Error,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 62,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[61].stims[0],"In a study on sleep patterns, the null hypothesis states there is no difference in sleep quality between those who exercise and those who don’t. The researcher fails to reject the null hypothesis, although in reality, exercise does improve sleep quality. This scenario illustrates a:",Choice pool (runtime order randomized): Type 2 Error || Type 1 Error || Sampling Error || Confounding Variable,Type 2 Error,Correct,Yes,Type 2 Error,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 63,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[62].stims[0],A clinical trial is conducted to test the effectiveness of a new antidepressant. The significance level (alpha) is set at 0.05. This alpha level indicates the probability of:,Choice pool (runtime order randomized): Rejecting a true null hypothesis || Accepting a false null hypothesis || Making a Type 2 Error || None of the above,Rejecting a true null hypothesis,Correct,Yes,Rejecting a true null hypothesis,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 64,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[63].stims[0],"A researcher hypothesizes that a new teaching method improves students’ test scores. After conducting the study, the p-value is found to be 0.03. If the significance level was set at 0.05, what is the appropriate conclusion?",Choice pool (runtime order randomized): Reject the null hypothesis there is evidence of an effect. || Accept the null hypothesis there is no effect. || Fail to reject the null hypothesis there is insufficient evidence of an effect. || Conduct more tests the results are inconclusive.,Reject the null hypothesis there is evidence of an effect.,Correct,Yes,Reject the null hypothesis there is evidence of an effect.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 65,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[64].stims[0],"If a psychologist increases the sample size in a study comparing two therapies, what is the likely impact on Type 2 Error?",Choice pool (runtime order randomized): Decreases || Increases || Becomes a Type 1 Error || Remains the same,Decreases,Correct,Yes,Decreases,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 66,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[65].stims[0],Consider a study testing the effect of a new drug on reducing anxiety. Which of the following represents a Type 1 Error?,Choice pool (runtime order randomized): Concluding the drug works when it actually does not || Concluding the drug does not work when it actually does || Overestimating the drug’s effectiveness due to biased sampling || Underestimating the drug’s effectiveness due to a small sample size,Concluding the drug works when it actually does not,Correct,Yes,Concluding the drug works when it actually does not,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 67,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[66].stims[0],A study finds that a new therapy significantly reduces symptoms of depression. Later studies fail to replicate this finding. The original study most likely made a:,Choice pool (runtime order randomized): Type 1 Error || Measurement Error || Type 2 Error || Sampling Bias,Type 1 Error,Ambiguous,Partly,A failed replication alone does not prove the original study made a Type I error; that is only one possible explanation.,No,Insufficient information,No formula needed,"Replication failure could reflect low power, design differences, measurement changes, or a false positive; the stem does not justify a single statistical diagnosis.","Add an option such as ""cannot be determined from the failed replication alone.""","If you want Type I error as the answer, state that later evidence strongly supports no true effect.",Revise concept/substance
Item 68,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[67].stims[0],"In a psychological study, the power of the test is increased. This change primarily reduces the risk of:",Choice pool (runtime order randomized): Type 2 Error || Type 1 Error || Biased Sampling || Confounding Variables,Type 2 Error,Correct,Yes,Type 2 Error,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 69,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[68].stims[0],"A study shows that there is a significant correlation between social media use and depression. If this is a false positive result, it would be an example of a:",Choice pool (runtime order randomized): Type 1 Error || Type 2 Error || Correlational Fallacy || Sampling Error,Type 1 Error,Correct,Yes,Type 1 Error,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 70,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[69].stims[0],"When a statistical test correctly identifies that a new medication does not have a significant effect on reducing anxiety, this indicates:",Choice pool (runtime order randomized): The test avoided a Type 1 Error || The test made a Type 2 Error || The test avoided a Type 2 Error || The test made a Type 1 Error,The test avoided a Type 1 Error,Correct,Yes,The test avoided a Type 1 Error,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 71,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[70].stims[0],"In a psychological study comparing the effect of two types of therapy on stress levels, what would be an appropriate null hypothesis for a t-test?",Choice pool (runtime order randomized): The two therapies have the same effect on stress levels. || The two therapies have different effects on stress levels. || The first therapy is more effective than the second. || The second therapy is more effective than the first.,The two therapies have the same effect on stress levels.,Correct,Yes,The two therapies have the same effect on stress levels.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 72,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[71].stims[0],A researcher conducts a t-test and reports a t-statistic of 2.5 with a significance level (p-value) of 0.02. How should this result be interpreted?,Choice pool (runtime order randomized): The difference between the groups is statistically significant. || The result is inconclusive. || There is no significant difference between the groups. || The t-statistic is too low to determine significance.,The difference between the groups is statistically significant.,Correct,Yes,The difference between the groups is statistically significant.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 73,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[72].stims[0],"In a study measuring the effectiveness of a new teaching method on student performance, the t-test results in a negative t-value. What does this indicate?",Choice pool (runtime order randomized): The control group performed better than the experimental group. || The teaching method has no effect. || The experimental group performed better than the control group. || The result is statistically insignificant.,The control group performed better than the experimental group.,Ambiguous,No,"A negative t-value only shows the direction of subtraction/coding; without knowing which group mean was subtracted from which, you cannot say which group performed better.",No,Ambiguity,No formula needed,"The sign of t depends on how the difference was defined, so the keyed directional interpretation is unsupported.",Add a choice that says the sign only indicates direction relative to the coding/order of subtraction.,Specify the test statistic as (experimental - control)/SE or (control - experimental)/SE.,Revise concept/substance
Item 74,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[73].stims[0],What does a large effect size in a t-test indicate in a psychological study?,Choice pool (runtime order randomized): A strong association between the variables. || A weak association between the variables. || A high probability of Type I error. || A high probability of Type II error.,A strong association between the variables.,Correct,Yes,A strong association between the variables.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 75,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[74].stims[0],"When comparing the mean scores of two groups, if the 95% confidence interval for the difference between the means includes zero, what does this imply?",Choice pool (runtime order randomized): The difference is not statistically significant. || The variance within each group is high. || The sample size is too small. || There is a significant difference between the groups.,The difference is not statistically significant.,Correct,Yes,The difference is not statistically significant.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 76,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[75].stims[0],"In a study examining the impact of two different diets on weight loss, what type of t-test is most appropriate?",Choice pool (runtime order randomized): Independent-samples t-test. || Chi-square test. || One-sample t-test. || Paired-samples t-test.,Independent-samples t-test.,Correct,Yes,Independent-samples t-test.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 77,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[76].stims[0],"A t-test yields a p-value of 0.06. If the significance level was set at 0.05, how should these results be interpreted?",Choice pool (runtime order randomized): The results are not statistically significant. || The results are statistically significant. || The sample size is insufficient. || The test was inappropriate for the data.,The results are not statistically significant.,Correct,Yes,The results are not statistically significant.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 78,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[77].stims[0],"In a psychological experiment, the calculated Cohen’s d is 0.2. This indicates:",Choice pool (runtime order randomized): A small effect size. || The result is statistically insignificant. || A medium effect size. || A large effect size.,A small effect size.,Correct,Yes,A small effect size.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 79,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[78].stims[0],"If a one-tailed t-test is conducted when a two-tailed test was appropriate, what is a potential consequence?",Choice pool (runtime order randomized): Increased risk of Type I error. || Inflated effect size. || Decreased risk of Type II error. || Missing effects that occur in the unexpected direction.,Increased risk of Type I error.,Ambiguous,Partly,"Using a one-tailed test when a two-tailed test is appropriate can miss effects in the unexpected direction; if the one-tailed choice is made opportunistically, it can also inflate Type I error.",Partly,Ambiguity,No formula needed,"One distractor (missing effects in the unexpected direction) is also a defensible consequence, so the keyed answer is not uniquely best.",Replace the distractor about unexpected-direction effects or explicitly ask about the error-rate consequence of choosing one-tailed post hoc.,Clarify whether the one-tailed choice was made before seeing the data or after seeing the effect direction.,Revise choices
Item 80,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[79].stims[0],"In a study to compare the reaction times of professional gamers versus non-gamers, the mean reaction time for gamers was 200 ms with a standard deviation of 20 ms, and for non-gamers, it was 220 ms with a standard deviation of 25 ms. If the sample size for both groups was 30, what is the approximate value of the t-statistic?",Choice pool (runtime order randomized): -3.42 || 2.45 || -5.10 || 4.00,-3.42,Problematic but salvageable,Yes,-3.42,Yes,Formula dependency,Problematic because it requires more computation than intended,"The keyed answer is numerically correct, but the item requires recalling and executing the independent-samples t formula, which goes beyond the requested low-computation style.",,Provide the test-statistic setup or convert the item into a conceptual comparison question.,Revise concept/substance
Item 81,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[80].stims[0],"In a matched pairs test, why are participants paired?",Choice pool (runtime order randomized): To control for variability between subjects by matching on specific variables. || To randomly assign treatments to different groups. || To ensure that the test results are statistically significant. || To increase the sample size.,To control for variability between subjects by matching on specific variables.,Correct,Yes,To control for variability between subjects by matching on specific variables.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 82,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[81].stims[0],Dr. Smith conducts a matched pairs test to evaluate the effectiveness of a new therapy for anxiety. She measures anxiety levels of patients before and after the therapy. What is the alternative hypothesis in this test?,Choice pool (runtime order randomized): The therapy will cause a significant decrease in anxiety levels. || There will be no difference in anxiety levels before and after therapy. || Anxiety levels will vary randomly before and after therapy. || The therapy will cause a significant increase in anxiety levels.,The therapy will cause a significant decrease in anxiety levels.,Ambiguous,Partly,"If the study pre-specifies a directional claim, a decrease is a valid alternative; otherwise the default matched-pairs alternative is that the mean difference is not zero.",Partly,Ambiguity,No formula needed,"The stem does not say whether the test is one-sided or two-sided, so the directional alternative is not fully justified.",,"State explicitly that the researcher is conducting a one-tailed test for decreased anxiety, or else use a non-directional alternative.",Revise wording
Item 83,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[82].stims[0],Which of the following is a necessary condition for conducting a matched pairs t-test?,Choice pool (runtime order randomized): The differences within pairs should be approximately normally distributed. || The data should follow a bimodal distribution. || There should be at least two independent samples. || All participants must be over 18 years of age.,The differences within pairs should be approximately normally distributed.,Correct,Yes,The differences within pairs should be approximately normally distributed.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 84,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[83].stims[0],A psychologist uses a matched pairs design to compare the effects of two different counseling techniques. How should she assign the techniques to the subjects?,Choice pool (runtime order randomized): Assign both techniques to all subjects in a random order. || Assign techniques based on the personal preference of the subjects. || Assign one technique to male subjects and the other to female subjects. || Assign one technique to one group and the other technique to another group.,Assign both techniques to all subjects in a random order.,Correct,Yes,Assign both techniques to all subjects in a random order.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 85,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[84].stims[0],"In a matched pairs design, if the p-value is less than the alpha level (e.g., 0.05), what does it suggest?",Choice pool (runtime order randomized): There is a significant difference in the means of the two paired groups. || The null hypothesis is definitely true. || The sample size is too small to draw any conclusions. || There is no significant difference between the two groups.,There is a significant difference in the means of the two paired groups.,Correct,Yes,There is a significant difference in the means of the two paired groups.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 86,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[85].stims[0],What is the null hypothesis in a matched pairs test?,Choice pool (runtime order randomized): The mean difference between the paired observations is equal to zero || The means of the two populations from which the samples are drawn are equal || The correlation between the paired observations is equal to zero || The variance of the differences between the paired observations is equal to zero,The mean difference between the paired observations is equal to zero,Correct,Yes,The mean difference between the paired observations is equal to zero,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 87,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[86].stims[0],"A study uses a matched pairs design to test the effect of sleep on memory. The mean difference in test scores (post-sleep minus pre-sleep) is 5 with a standard deviation of 2. If the sample size is 25, what is the t-statistic for this study?",Choice pool (runtime order randomized): 12.5 || 6.25 || 7.81 || 3.54,12.5,Problematic but salvageable,Yes,12.5,Yes,Formula dependency,Problematic because it requires formula recall,"The keyed answer is correct, but the item is a direct computation of the matched-pairs t statistic.",,Provide the test-statistic formula or ask for a conceptual interpretation instead.,Revise concept/substance
Item 88,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[87].stims[0],Which of the following scenarios is most suitable for a matched pairs t-test?,Choice pool (runtime order randomized): Assessing the impact of a training program by comparing scores before and after the program on the same individuals. || Comparing the effectiveness of two medications on two different groups of patients. || Evaluating the difference in reaction times between men and women. || Determining if a new teaching method improves grades across different schools.,Assessing the impact of a training program by comparing scores before and after the program on the same individuals.,Correct,Yes,Assessing the impact of a training program by comparing scores before and after the program on the same individuals.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
